movie_id,title,release_date,popularity,vote_average,vote_count,genre_names,budget,revenue,runtime,release_year,budget_per_rating,roi,profitable,popularity_per_vote,budget_category,primary_genre,genre_count
1280450,Stolen Girl,2025-09-04,284.3588,6.372,47,"['Thriller', 'Action', 'Adventure']",26000000,92691,110,2025,4080351.5379786566,-99.64349615384616,False,6.050187234042553,Medium,Thriller,3
861451,Martin,2024-10-11,247.7484,2.125,9,"['Action', 'Drama', 'Thriller']",17647000,3247000,147,2024,8304470.588235294,-81.60027200090667,False,27.5276,Medium,Action,3
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,274.6086,7.797,482,"['Animation', 'Action', 'Fantasy', 'Thriller']",20000000,643612593,156,2025,2565089.1368475053,3118.062965,True,0.5697273858921162,Medium,Animation,4
604079,The Long Walk,2025-09-10,239.8755,6.855,438,"['Thriller', 'Science Fiction', 'Horror']",20000000,42650783,109,2025,2917578.4099197662,113.25391499999999,True,0.5476609589041096,Medium,Thriller,3
1038392,The Conjuring: Last Rites,2025-09-03,203.8869,6.99,1117,['Horror'],55000000,484611103,135,2025,7868383.404864091,781.1110963636364,True,0.18253079677708148,High,Horror,1
1197137,Black Phone 2,2025-10-15,165.945,7.3,128,"['Horror', 'Thriller']",30000000,59504282,114,2025,4109589.0410958906,98.34760666666666,True,1.2964453125,Medium,Horror,2
617126,The Fantastic 4: First Steps,2025-07-23,146.7865,7.112,2076,"['Science Fiction', 'Adventure']",200000000,520652419,115,2025,28121484.8143982,160.3262095,True,0.07070640655105973,Very High,Science Fiction,2
7451,xXx,2002-08-09,148.5369,6.0,4603,"['Action', 'Adventure', 'Thriller', 'Crime']",70000000,277448382,124,2002,11666666.666666666,296.3548314285714,True,0.032269585053226156,High,Action,4
507244,Afterburn,2025-08-20,301.0804,6.1,49,"['Science Fiction', 'Action', 'Comedy']",60000000,184758,105,2025,9836065.573770493,-99.69207,False,6.144497959183673,High,Science Fiction,3
803796,KPop Demon Hunters,2025-06-20,139.8138,8.24,1746,"['Fantasy', 'Music', 'Comedy', 'Animation']",100000000,19200000,96,2025,12135922.330097087,-80.80000000000001,False,0.08007663230240548,High,Fantasy,4
1010756,The Strangers: Chapter 2,2025-09-25,118.8263,5.814,78,"['Horror', 'Thriller']",8500000,11577352,98,2025,1461988.3040935672,36.204141176470586,True,1.5234141025641026,Low,Horror,2
1267905,The Roses,2025-08-27,113.2714,7.0,249,"['Comedy', 'Drama', 'Romance']",30600000,49589664,105,2025,4371428.571428572,62.05772549019608,True,0.45490522088353413,Medium,Comedy,3
941109,Play Dirty,2025-09-30,108.1059,6.652,368,['Crime'],2500000,0,125,2025,375826.819001804,-100.0,False,0.29376603260869566,Low,Crime,1
1186350,Marco,2024-12-20,110.8887,6.609,78,"['Action', 'Crime', 'Thriller']",3467000,11559000,145,2024,524587.6834619459,233.40063455436976,True,1.42165,Low,Action,3
575265,Mission: Impossible - The Final Reckoning,2025-05-17,104.6448,7.278,2002,"['Action', 'Adventure', 'Thriller']",400000000,598056261,170,2025,54960153.88843089,49.51406525,True,0.05227012987012987,Very High,Action,3
1109086,War 2,2025-08-13,98.889,5.361,36,"['Action', 'Adventure', 'Thriller']",47000000,3096145,173,2025,8767021.07815706,-93.4124574468085,False,2.7469166666666665,Medium,Action,3
1061474,Superman,2025-07-09,101.8405,7.431,3673,"['Science Fiction', 'Adventure', 'Action']",225000000,615800000,130,2025,30278562.77755349,173.6888888888889,True,0.027726790089844817,Very High,Science Fiction,3
1328803,Prisoner of War,2025-09-19,83.7069,7.0,96,"['Action', 'War', 'Thriller', 'History']",2000000,0,113,2025,285714.28571428574,-100.0,False,0.871946875,Low,Action,4
533533,TRON: Ares,2025-10-08,82.5315,6.4,297,"['Science Fiction', 'Adventure', 'Action']",180000000,123400000,119,2025,28125000.0,-31.444444444444446,False,0.27788383838383834,Very High,Science Fiction,3
1327862,Regretting You,2025-10-22,82.4402,7.0,23,"['Romance', 'Drama']",30000000,0,116,2025,4285714.285714285,-100.0,False,3.5843565217391307,Medium,Romance,2
1417,Pan's Labyrinth,2006-10-11,77.9963,7.757,11053,"['Fantasy', 'Drama', 'War']",19000000,83258226,118,2006,2449400.5414464357,338.2011894736842,True,0.007056572876142224,Medium,Fantasy,3
1330421,Bone Lake,2025-10-02,77.8882,5.75,16,"['Horror', 'Thriller', 'Mystery']",1000000,1688650,94,2025,173913.04347826086,68.865,True,4.8680125,Low,Horror,3
1087192,How to Train Your Dragon,2025-06-06,70.0209,8.01,2092,"['Fantasy', 'Family', 'Action', 'Adventure']",150000000,635213100,125,2025,18726591.760299627,323.47540000000004,True,0.03347079349904398,Very High,Fantasy,4
756999,The Black Phone,2022-06-16,69.5948,7.551,5390,"['Horror', 'Thriller']",16000000,161441914,103,2022,2118924.6457422855,909.0119625,True,0.012911836734693878,Medium,Horror,2
1009640,Valiant One,2025-01-30,69.3241,6.6,61,"['War', 'Thriller', 'Action']",10000000,1236630,86,2025,1515151.5151515151,-87.6337,False,1.136460655737705,Low,War,3
